"Label (Grouping)","Bronx borough, Bronx County, New York!!Total!!Estimate","Bronx borough, Bronx County, New York!!Total!!Margin of Error","Bronx borough, Bronx County, New York!!Percent!!Estimate","Bronx borough, Bronx County, New York!!Percent!!Margin of Error","Bronx borough, Bronx County, New York!!Male!!Estimate","Bronx borough, Bronx County, New York!!Male!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Male!!Estimate","Bronx borough, Bronx County, New York!!Percent Male!!Margin of Error","Bronx borough, Bronx County, New York!!Female!!Estimate","Bronx borough, Bronx County, New York!!Female!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Female!!Estimate","Bronx borough, Bronx County, New York!!Percent Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent!!Estimate","Brooklyn borough, Kings County, New York!!Percent!!Margin of Error","Brooklyn borough, Kings County, New York!!Male!!Estimate","Brooklyn borough, Kings County, New York!!Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Male!!Estimate","Brooklyn borough, Kings County, New York!!Percent Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Female!!Estimate","Brooklyn borough, Kings County, New York!!Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Female!!Estimate","Brooklyn borough, Kings County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error","Queens borough, Queens County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Margin of Error","Queens borough, Queens County, New York!!Percent!!Estimate","Queens borough, Queens County, New York!!Percent!!Margin of Error","Queens borough, Queens County, New York!!Male!!Estimate","Queens borough, Queens County, New York!!Male!!Margin of Error","Queens borough, Queens County, New York!!Percent Male!!Estimate","Queens borough, Queens County, New York!!Percent Male!!Margin of Error","Queens borough, Queens County, New York!!Female!!Estimate","Queens borough, Queens County, New York!!Female!!Margin of Error","Queens borough, Queens County, New York!!Percent Female!!Estimate","Queens borough, Queens County, New York!!Percent Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent!!Estimate","Staten Island borough, Richmond County, New York!!Percent!!Margin of Error","Staten Island borough, Richmond County, New York!!Male!!Estimate","Staten Island borough, Richmond County, New York!!Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Male!!Estimate","Staten Island borough, Richmond County, New York!!Percent Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Female!!Estimate","Staten Island borough, Richmond County, New York!!Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Female!!Estimate","Staten Island borough, Richmond County, New York!!Percent Female!!Margin of Error"
"    American Indian or Alaska Native alone","13,481","±3,609","(X)","(X)","7,250","±2,293","(X)","(X)","6,231","±1,869","(X)","(X)","14,147","±3,337","(X)","(X)","7,100","±1,799","(X)","(X)","7,047","±1,937","(X)","(X)","3,951","±1,942","(X)","(X)","1,592","±1,046","(X)","(X)","2,359","±1,137","(X)","(X)","11,537","±2,468","(X)","(X)","6,291","±1,662","(X)","(X)","5,246","±1,302","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","9,043","±2,683","67.1%","±8.8","4,729","±1,748","65.2%","±10.9","4,314","±1,506","69.2%","±10.3","9,210","±2,073","65.1%","±9.2","5,080","±1,463","71.5%","±12.4","4,130","±1,234","58.6%","±10.7","2,699","±1,318","68.3%","±15.7","790","±688","49.6%","±30.1","1,909","±931","80.9%","±16.3","8,892","±2,053","77.1%","±8.4","4,873","±1,514","77.5%","±11.0","4,019","±1,019","76.6%","±9.3","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","2,046","±1,120","15.2%","±7.7","862","±705","11.9%","±8.2","1,184","±617","19.0%","±10.0","3,044","±1,141","21.5%","±7.6","1,385","±780","19.5%","±9.9","1,659","±750","23.5%","±10.7","1,658","±881","42.0%","±18.7","375","±308","23.6%","±19.0","1,283","±796","54.4%","±24.6","2,422","±881","21.0%","±5.8","1,105","±605","17.6%","±7.7","1,317","±666","25.1%","±10.5","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","39,045","±1,477","(X)","(X)","18,469","±929","(X)","(X)","20,576","±810","(X)","(X)","233,113","±3,304","(X)","(X)","109,691","±1,706","(X)","(X)","123,422","±2,063","(X)","(X)","150,325","±3,985","(X)","(X)","65,427","±2,161","(X)","(X)","84,898","±2,303","(X)","(X)","448,606","±4,635","(X)","(X)","213,748","±2,571","(X)","(X)","234,858","±2,623","(X)","(X)","40,761","±1,936","(X)","(X)","19,262","±1,161","(X)","(X)","21,499","±957","(X)","(X)"
"        High school graduate or higher","29,319","±1,782","75.1%","±3.9","14,059","±1,071","76.1%","±5.7","15,260","±1,201","74.2%","±4.4","163,781","±4,785","70.3%","±1.8","77,722","±2,835","70.9%","±2.2","86,059","±2,752","69.7%","±1.9","128,925","±4,566","85.8%","±1.9","57,080","±2,407","87.2%","±2.4","71,845","±3,115","84.6%","±2.6","350,488","±6,662","78.1%","±1.3","169,080","±3,946","79.1%","±1.7","181,408","±3,904","77.2%","±1.5","31,110","±2,375","76.3%","±4.7","14,731","±1,434","76.5%","±6.2","16,379","±1,348","76.2%","±5.1"
"        Bachelor's degree or higher","15,450","±1,954","39.6%","±4.7","7,096","±1,063","38.4%","±5.8","8,354","±1,219","40.6%","±5.4","91,842","±3,946","39.4%","±1.7","42,097","±2,433","38.4%","±2.3","49,745","±2,496","40.3%","±1.9","103,778","±3,818","69.0%","±2.1","46,096","±2,625","70.5%","±3.3","57,682","±2,750","67.9%","±2.8","184,689","±6,638","41.2%","±1.5","90,570","±4,174","42.4%","±1.9","94,119","±3,583","40.1%","±1.5","13,982","±2,223","34.3%","±5.5","5,836","±1,268","30.3%","±6.5","8,146","±1,367","37.9%","±6.5"
"    Native Hawaiian and Other Pacific Islander alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","310,580","±10,674","(X)","(X)","142,536","±6,478","(X)","(X)","168,044","±6,184","(X)","(X)","180,853","±8,070","(X)","(X)","87,297","±4,574","(X)","(X)","93,556","±4,742","(X)","(X)","161,725","±10,787","(X)","(X)","76,606","±6,503","(X)","(X)","85,119","±6,251","(X)","(X)","260,676","±10,390","(X)","(X)","129,499","±5,777","(X)","(X)","131,177","±5,847","(X)","(X)","21,366","±3,539","(X)","(X)","11,805","±2,340","(X)","(X)","9,561","±1,814","(X)","(X)"
"        High school graduate or higher","203,445","±10,260","65.5%","±2.1","95,839","±6,112","67.2%","±2.5","107,606","±6,287","64.0%","±2.8","121,827","±7,243","67.4%","±2.7","56,255","±3,859","64.4%","±3.6","65,572","±5,191","70.1%","±3.5","111,165","±9,407","68.7%","±3.1","54,750","±5,787","71.5%","±4.5","56,415","±5,668","66.3%","±4.0","180,719","±8,416","69.3%","±1.9","90,430","±5,075","69.8%","±2.5","90,289","±5,040","68.8%","±2.3","18,074","±2,978","84.6%","±4.8","9,990","±1,983","84.6%","±7.0","8,084","±1,733","84.6%","±6.1"
"        Bachelor's degree or higher","44,323","±4,950","14.3%","±1.5","17,670","±2,857","12.4%","±2.0","26,653","±3,388","15.9%","±1.9","36,591","±3,587","20.2%","±2.0","15,503","±2,383","17.8%","±2.7","21,088","±2,747","22.5%","±2.7","34,954","±4,535","21.6%","±2.5","14,794","±3,288","19.3%","±3.8","20,160","±3,158","23.7%","±3.3","46,869","±4,535","18.0%","±1.6","21,047","±2,578","16.3%","±2.0","25,822","±3,101","19.7%","±2.1","5,740","±1,929","26.9%","±8.2","2,464","±1,129","20.9%","±9.1","3,276","±1,314","34.3%","±11.3"
"    Two or more races","152,081","±9,425","(X)","(X)","67,697","±5,643","(X)","(X)","84,384","±5,544","(X)","(X)","190,436","±10,585","(X)","(X)","86,075","±5,358","(X)","(X)","104,361","±7,106","(X)","(X)","140,399","±9,756","(X)","(X)","66,288","±5,270","(X)","(X)","74,111","±6,716","(X)","(X)","218,700","±11,765","(X)","(X)","108,116","±6,439","(X)","(X)","110,584","±6,722","(X)","(X)","32,750","±4,084","(X)","(X)","15,607","±2,663","(X)","(X)","17,143","±2,298","(X)","(X)"
"        High school graduate or higher","112,214","±8,344","73.8%","±2.5","49,475","±5,190","73.1%","±4.2","62,739","±4,991","74.3%","±3.2","160,029","±9,490","84.0%","±1.8","72,640","±5,031","84.4%","±2.8","87,389","±6,519","83.7%","±2.3","116,531","±8,735","83.0%","±2.8","55,385","±5,229","83.6%","±3.7","61,146","±5,747","82.5%","±3.5","171,734","±8,593","78.5%","±1.9","84,874","±4,833","78.5%","±2.5","86,860","±5,404","78.5%","±2.6","27,829","±3,523","85.0%","±4.0","12,065","±2,368","77.3%","±7.5","15,764","±2,137","92.0%","±3.9"
"        Bachelor's degree or higher","34,895","±4,159","22.9%","±2.3","13,958","±2,662","20.6%","±3.4","20,937","±3,055","24.8%","±3.2","73,938","±5,811","38.8%","±2.4","31,206","±2,967","36.3%","±3.1","42,732","±4,168","40.9%","±3.1","65,876","±5,767","46.9%","±3.1","29,783","±3,680","44.9%","±4.6","36,093","±3,798","48.7%","±3.9","58,840","±4,440","26.9%","±1.8","26,026","±2,493","24.1%","±2.1","32,814","±3,688","29.7%","±2.8","8,174","±1,887","25.0%","±6.0","3,257","±1,043","20.9%","±6.7","4,917","±1,482","28.7%","±7.7"
"    Hispanic or Latino Origin","510,948","*****","(X)","(X)","230,436","*****","(X)","(X)","280,512","*****","(X)","(X)","326,025","*****","(X)","(X)","155,335","*****","(X)","(X)","170,690","*****","(X)","(X)","298,243","*****","(X)","(X)","140,328","*****","(X)","(X)","157,915","*****","(X)","(X)","441,933","*****","(X)","(X)","220,780","*****","(X)","(X)","221,153","*****","(X)","(X)","55,754","*****","(X)","(X)","27,071","*****","(X)","(X)","28,683","*****","(X)","(X)"
"        High school graduate or higher","350,490","±8,161","68.6%","±1.6","159,770","±5,102","69.3%","±2.2","190,720","±6,031","68.0%","±2.2","235,325","±6,016","72.2%","±1.8","110,050","±4,248","70.8%","±2.7","125,275","±3,947","73.4%","±2.3","220,191","±6,637","73.8%","±2.2","104,953","±4,068","74.8%","±2.9","115,238","±4,250","73.0%","±2.7","321,559","±6,489","72.8%","±1.5","160,262","±4,201","72.6%","±1.9","161,297","±4,065","72.9%","±1.8","47,412","±1,698","85.0%","±3.0","22,052","±1,387","81.5%","±5.1","25,360","±1,062","88.4%","±3.7"
"        Bachelor's degree or higher","86,081","±6,230","16.8%","±1.2","34,121","±3,744","14.8%","±1.6","51,960","±4,163","18.5%","±1.5","86,833","±4,548","26.6%","±1.4","37,127","±2,888","23.9%","±1.9","49,706","±3,085","29.1%","±1.8","88,718","±5,746","29.7%","±1.9","39,976","±4,026","28.5%","±2.9","48,742","±3,793","30.9%","±2.4","89,760","±5,561","20.3%","±1.3","39,124","±3,126","17.7%","±1.4","50,636","±3,944","22.9%","±1.8","13,485","±2,387","24.2%","±4.3","4,799","±1,375","17.7%","±5.1","8,686","±1,738","30.3%","±6.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","36.6%","±2.4","(X)","(X)","30.5%","±2.7","(X)","(X)","41.3%","±3.1","(X)","(X)","30.1%","±1.9","(X)","(X)","26.6%","±2.4","(X)","(X)","33.1%","±2.4","(X)","(X)","37.1%","±3.4","(X)","(X)","33.5%","±4.2","(X)","(X)","40.0%","±4.2","(X)","(X)","21.2%","±1.5","(X)","(X)","18.1%","±2.0","(X)","(X)","24.1%","±1.8","(X)","(X)","24.5%","±4.6","(X)","(X)","18.8%","±6.0","(X)","(X)","30.4%","±5.9"
"    High school graduate (includes equivalency)","(X)","(X)","25.4%","±2.1","(X)","(X)","22.4%","±2.8","(X)","(X)","28.3%","±3.0","(X)","(X)","20.5%","±1.4","(X)","(X)","18.4%","±1.7","(X)","(X)","22.4%","±2.0","(X)","(X)","29.4%","±3.1","(X)","(X)","28.1%","±4.2","(X)","(X)","30.7%","±3.9","(X)","(X)","14.4%","±1.2","(X)","(X)","11.5%","±1.6","(X)","(X)","17.3%","±1.5","(X)","(X)","13.8%","±2.4","(X)","(X)","14.2%","±3.5","(X)","(X)","13.4%","±3.5"
"    Some college or associate's degree","(X)","(X)","22.0%","±2.1","(X)","(X)","15.5%","±2.5","(X)","(X)","27.4%","±2.9","(X)","(X)","17.7%","±1.4","(X)","(X)","16.7%","±1.8","(X)","(X)","18.7%","±1.9","(X)","(X)","20.7%","±2.3","(X)","(X)","20.0%","±3.5","(X)","(X)","21.3%","±3.0","(X)","(X)","12.5%","±1.1","(X)","(X)","11.2%","±1.4","(X)","(X)","13.8%","±1.5","(X)","(X)","8.1%","±2.0","(X)","(X)","6.1%","±2.2","(X)","(X)","10.2%","±3.3"
"    Bachelor's degree or higher","(X)","(X)","9.3%","±1.4","(X)","(X)","11.5%","±3.0","(X)","(X)","7.7%","±1.5","(X)","(X)","8.9%","±0.7","(X)","(X)","8.2%","±0.9","(X)","(X)","9.5%","±0.8","(X)","(X)","7.3%","±0.9","(X)","(X)","7.5%","±1.1","(X)","(X)","7.0%","±1.0","(X)","(X)","6.8%","±0.6","(X)","(X)","7.2%","±1.0","(X)","(X)","6.5%","±0.7","(X)","(X)","4.6%","±1.1","(X)","(X)","3.3%","±1.4","(X)","(X)","5.7%","±1.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","36,165","±904","(X)","(X)","36,988","±953","(X)","(X)","34,964","±2,026","(X)","(X)","47,679","±1,629","(X)","(X)","50,923","±681","(X)","(X)","45,196","±1,405","(X)","(X)","71,028","±1,652","(X)","(X)","78,129","±3,048","(X)","(X)","64,703","±2,211","(X)","(X)","44,896","±1,215","(X)","(X)","47,929","±1,971","(X)","(X)","41,290","±704","(X)","(X)","60,344","±3,434","(X)","(X)","65,778","±3,947","(X)","(X)","52,818","±2,969","(X)","(X)"
"        Less than high school graduate","22,398","±1,973","(X)","(X)","29,767","±2,468","(X)","(X)","18,873","±2,603","(X)","(X)","23,984","±1,217","(X)","(X)","27,232","±2,364","(X)","(X)","20,762","±1,381","(X)","(X)","23,872","±2,382","(X)","(X)","26,087","±4,751","(X)","(X)","21,543","±2,721","(X)","(X)","27,139","±1,223","(X)","(X)","31,643","±1,076","(X)","(X)","21,242","±938","(X)","(X)","34,630","±5,987","(X)","(X)","38,973","±4,495","(X)","(X)","22,191","±9,018","(X)","(X)"
"        High school graduate (includes equivalency)","30,853","±1,837","(X)","(X)","34,649","±3,640","(X)","(X)","25,200","±2,405","(X)","(X)","32,198","±1,006","(X)","(X)","35,967","±1,311","(X)","(X)","29,464","±2,989","(X)","(X)","33,505","±3,041","(X)","(X)","35,970","±1,314","(X)","(X)","30,970","±1,774","(X)","(X)","33,605","±2,030","(X)","(X)","37,455","±2,175","(X)","(X)","27,272","±1,607","(X)","(X)","42,387","±5,526","(X)","(X)","50,133","±4,625","(X)","(X)","37,121","±8,205","(X)","(X)"
"        Some college or associate's degree","35,688","±1,918","(X)","(X)","37,225","±3,728","(X)","(X)","33,550","±2,930","(X)","(X)","40,531","±1,083","(X)","(X)","43,545","±3,751","(X)","(X)","36,869","±2,035","(X)","(X)","37,717","±5,311","(X)","(X)","41,041","±4,115","(X)","(X)","33,987","±4,863","(X)","(X)","40,999","±925","(X)","(X)","46,785","±3,202","(X)","(X)","36,445","±1,161","(X)","(X)","52,435","±6,524","(X)","(X)","68,587","±3,461","(X)","(X)","42,081","±2,413","(X)","(X)"
"        Bachelor's degree","50,047","±3,134","(X)","(X)","50,427","±3,577","(X)","(X)","48,721","±4,438","(X)","(X)","66,376","±1,557","(X)","(X)","70,910","±2,350","(X)","(X)","62,670","±2,058","(X)","(X)","78,181","±2,867","(X)","(X)","88,148","±9,570","(X)","(X)","72,048","±3,423","(X)","(X)","61,489","±1,306","(X)","(X)","65,285","±3,042","(X)","(X)","59,047","±3,876","(X)","(X)","71,225","±7,429","(X)","(X)","82,767","±12,182","(X)","(X)","65,873","±5,169","(X)","(X)"
"        Graduate or professional degree","71,694","±4,812","(X)","(X)","67,457","±6,641","(X)","(X)","74,152","±5,951","(X)","(X)","79,799","±2,850","(X)","(X)","89,172","±4,744","(X)","(X)","73,203","±3,419","(X)","(X)","105,954","±7,177","(X)","(X)","139,441","±14,812","(X)","(X)","91,530","±3,599","(X)","(X)","77,427","±2,295","(X)","(X)","82,580","±3,156","(X)","(X)","73,930","±2,915","(X)","(X)","88,215","±5,592","(X)","(X)","90,672","±4,558","(X)","(X)","83,274","±8,382","(X)","(X)"
